BillNumberOfPages,BillType,DaysUntilRoyalAssent,ParliamentNumber,SessionNumber,PrimeMinisterName,PrimeMinisterParty,SponsorGender,SponsorParty,SponsorTitle,BillMonthOfYear,IsSponsorInPower
8.0,House Government Bill,209,40,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,3,True
48.0,House Government Bill,70,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,10,True
32.0,House Government Bill,367,38,1,Paul Martin,Liberal,M,Liberal,Other,11,True
307.0,House Government Bill,274,37,2,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,2,True
15.0,House Government Bill,70,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Agriculture and Agri-Food,4,True
28.0,House Government Bill,477,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,2,True
10.0,House Government Bill,219,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,11,True
6.0,House Government Bill,209,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,10,True
92.0,House Government Bill,345,38,1,Paul Martin,Liberal,F,Liberal,Other,11,True
1.0,House Government Bill,9,37,3,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,3,True
36.0,House Government Bill,51,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,4,True
88.0,House Government Bill,70,42,1,Justin Trudeau,Liberal,M,Liberal,Minister of Finance,10,True
12.0,House Government Bill,392,41,2,Stephen Harper,Conservative,M,Conservative,Other,3,True
10.0,House Government Bill,490,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,11,True
1.0,House Government Bill,9,37,3,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,3,True
20.0,House Government Bill,414,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Natural Resources,4,True
32.0,House Government Bill,3,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
12.0,House Government Bill,483,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,11,True
84.0,House Government Bill,204,40,3,Stephen Harper,Conservative,M,Conservative,Minister of Industry,5,True
28.0,House Government Bill,45,40,2,Stephen Harper,Conservative,M,Conservative,Other,4,True
390.0,House Government Bill,23,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,11,True
138.0,House Government Bill,126,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,10,True
8.0,House Government Bill,361,38,1,Paul Martin,Liberal,M,Liberal,Minister of Health,11,True
4.0,House Government Bill,49,37,3,Paul Martin,Liberal,M,Liberal,Minister of the Environment,3,True
272.0,House Government Bill,86,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,3,True
56.0,House Government Bill,10,37,1,Jean Chrétien,Liberal,M,Liberal,Leader of the Government in the House of Commons,6,True
30.0,House Government Bill,3,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
66.0,House Government Bill,10,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,12,True
16.0,House Government Bill,45,40,2,Stephen Harper,Conservative,M,Conservative,Minister of Agriculture and Agri-Food,5,True
6.0,House Government Bill,153,38,1,Paul Martin,Liberal,M,Liberal,Minister of Industry,12,True
16.0,House Government Bill,2,37,2,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,3,True
,House Government Bill,2,37,1,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,6,True
244.0,House Government Bill,51,42,1,Justin Trudeau,Liberal,M,Liberal,Minister of Finance,10,True
10.0,House Government Bill,64,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Agriculture and Agri-Food,3,True
22.0,House Government Bill,296,40,3,Stephen Harper,Conservative,M,Conservative,Minister of Justice,5,True
32.0,House Government Bill,204,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Indian Affairs and Northern Development,11,True
20.0,House Government Bill,139,38,1,Paul Martin,Liberal,M,Liberal,Leader of the Government in the House of Commons,12,True
122.0,House Government Bill,44,37,3,Paul Martin,Liberal,M,Liberal,Minister of Finance,3,True
20.0,House Government Bill,2,37,2,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,3,True
179.0,House Government Bill,190,37,1,Jean Chrétien,Liberal,F,Liberal,Minister of Justice,9,True
140.0,House Government Bill,197,42,1,Justin Trudeau,Liberal,M,Liberal,Other,10,True
380.0,House Government Bill,83,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,3,True
56.0,House Government Bill,133,41,1,Stephen Harper,Conservative,M,Conservative,Other,2,True
10.0,House Government Bill,197,40,3,Stephen Harper,Conservative,F,Conservative,Minister of Human Resources and Skills Development,6,True
6.0,House Government Bill,203,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,11,True
26.0,House Government Bill,241,39,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
18.0,House Government Bill,70,37,2,Jean Chrétien,Liberal,M,Liberal,Other,4,True
21.0,House Government Bill,89,37,1,Jean Chrétien,Liberal,M,Liberal,Other,9,True
68.0,House Government Bill,385,41,2,Stephen Harper,Conservative,M,Conservative,Other,4,True
8.0,House Government Bill,495,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,2,True
16.0,House Government Bill,135,40,2,Stephen Harper,Conservative,F,Conservative,Minister of Health,5,True
146.0,House Government Bill,89,37,1,Jean Chrétien,Liberal,M,Liberal,Other,9,True
18.0,House Government Bill,3,41,1,Stephen Harper,Conservative,F,Conservative,Other,3,True
8.0,House Government Bill,17,40,2,Stephen Harper,Conservative,M,Conservative,Other,6,True
10.0,House Government Bill,206,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Agriculture and Agri-Food,12,True
82.0,House Government Bill,156,38,1,Paul Martin,Liberal,M,Liberal,Minister of Finance,12,True
109.0,House Government Bill,222,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,9,True
12.0,House Government Bill,52,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,4,True
56.0,House Government Bill,15,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
10.0,House Government Bill,22,40,3,Stephen Harper,Conservative,M,Conservative,Other,6,True
16.0,House Government Bill,203,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Indian Affairs and Northern Development,12,True
18.0,House Government Bill,20,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Indian Affairs and Northern Development,11,True
1.0,House Government Bill,6,38,1,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,12,True
115.0,House Government Bill,83,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Transport,9,True
8.0,House Government Bill,407,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,5,True
38.0,House Government Bill,15,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
8.0,House Government Bill,288,40,3,Stephen Harper,Conservative,M,Conservative,Other,6,True
1.0,House Government Bill,8,39,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,12,True
1.0,House Government Bill,6,38,1,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,12,True
21.0,House Government Bill,211,37,1,Jean Chrétien,Liberal,M,Liberal,Other,10,True
42.0,House Government Bill,14,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,12,True
50.0,House Government Bill,155,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,6,True
6.0,House Government Bill,274,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,3,True
44.0,House Government Bill,189,40,3,Stephen Harper,Conservative,F,Conservative,Minister of Health,6,True
42.0,House Government Bill,157,39,1,Stephen Harper,Conservative,M,Conservative,Other,11,True
8.0,House Government Bill,76,38,1,Paul Martin,Liberal,M,Liberal,Other,12,True
184.0,House Government Bill,64,37,1,Jean Chrétien,Liberal,F,Liberal,Minister of Justice,10,True
96.0,House Government Bill,157,42,1,Justin Trudeau,Liberal,F,Liberal,Minister of Health,12,True
10.0,House Government Bill,13,41,2,Stephen Harper,Conservative,M,Conservative,Leader of the Government in the House of Commons,6,True
6.0,House Government Bill,421,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,4,True
16.0,House Government Bill,129,39,2,Stephen Harper,Conservative,F,Conservative,Other,12,True
242.0,House Government Bill,122,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,11,True
10.0,House Government Bill,347,38,1,Paul Martin,Liberal,M,Liberal,Minister of Industry,12,True
88.0,House Government Bill,176,37,2,Jean Chrétien,Liberal,M,Liberal,Other,5,True
18.0,House Government Bill,155,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,10,True
66.0,House Government Bill,9,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
452.0,House Government Bill,64,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,4,True
24.0,House Government Bill,9,40,2,Stephen Harper,Conservative,M,Conservative,Minister of the Environment,6,True
6.0,House Government Bill,1,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Natural Resources,12,True
96.0,House Government Bill,14,39,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,11,True
16.0,House Government Bill,169,38,1,Paul Martin,Liberal,M,Liberal,Minister of Justice,2,True
8.0,House Government Bill,54,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Transport,10,True
14.0,House Government Bill,9,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
12.0,House Government Bill,3,41,1,Stephen Harper,Conservative,F,Conservative,Other,5,True
4.0,House Government Bill,8,40,2,Stephen Harper,Conservative,M,Conservative,Other,6,True
1.0,House Government Bill,14,39,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,11,True
10.0,House Government Bill,44,38,1,Paul Martin,Liberal,M,Liberal,Minister of Finance,2,True
150.0,House Government Bill,147,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,10,True
16.0,House Government Bill,17,37,2,Jean Chrétien,Liberal,M,Liberal,Other,6,True
44.0,House Government Bill,314,41,2,Stephen Harper,Conservative,F,Conservative,Other,6,True
82.0,House Government Bill,22,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
4.0,House Government Bill,155,40,3,Stephen Harper,Conservative,F,Conservative,Minister of Human Resources and Skills Development,6,True
12.0,House Government Bill,73,39,2,Stephen Harper,Conservative,M,Conservative,Other,2,True
134.0,House Government Bill,199,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,12,True
6.0,House Government Bill,69,38,1,Paul Martin,Liberal,M,Liberal,Minister of Agriculture and Agri-Food,3,True
55.0,House Government Bill,47,37,1,Jean Chrétien,Liberal,F,Liberal,Minister of Justice,11,True
34.0,House Government Bill,9,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,3,True
114.0,House Government Bill,64,41,2,Stephen Harper,Conservative,M,Conservative,Other,9,True
46.0,House Government Bill,22,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
14.0,House Government Bill,3,40,2,Stephen Harper,Conservative,M,Conservative,Other,6,True
4.0,House Government Bill,2,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,2,True
1.0,House Government Bill,1,38,1,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,3,True
10.0,House Government Bill,134,37,1,Jean Chrétien,Liberal,M,Liberal,Other,11,True
28.0,House Government Bill,9,42,1,Justin Trudeau,Liberal,M,Liberal,President of the Treasury Board,3,True
26.0,House Government Bill,254,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
126.0,House Government Bill,364,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Public Safety,6,True
6.0,House Government Bill,279,40,3,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",6,True
12.0,House Government Bill,31,39,2,Stephen Harper,Conservative,F,Conservative,Other,2,True
6.0,House Government Bill,192,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Health,12,True
1.0,House Government Bill,1,38,1,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,3,True
46.0,House Government Bill,136,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of the Environment,6,True
478.0,House Government Bill,54,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,10,True
22.0,House Government Bill,364,41,1,Stephen Harper,Conservative,M,Conservative,Other,6,True
128.0,House Government Bill,97,38,1,Paul Martin,Liberal,M,Liberal,Minister of Finance,3,True
30.0,House Government Bill,203,37,1,Jean Chrétien,Liberal,M,Liberal,Leader of the Government in the House of Commons,11,True
10.0,House Government Bill,178,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
36.0,House Government Bill,85,41,1,Stephen Harper,Conservative,F,Conservative,Minister of Human Resources and Skills Development,9,True
72.0,House Government Bill,12,40,3,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
14.0,House Government Bill,3,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Agriculture and Agri-Food,2,True
4.0,House Government Bill,20,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Transport,11,True
16.0,House Government Bill,8,37,2,Jean Chrétien,Liberal,M,Liberal,Other,6,True
50.0,House Government Bill,13,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,12,True
430.0,House Government Bill,57,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,10,True
48.0,House Government Bill,12,40,3,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
63.0,House Government Bill,23,38,1,Paul Martin,Liberal,F,Liberal,Other,4,True
26.0,House Government Bill,148,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Justice,6,True
,House Government Bill,14,37,1,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,12,True
56.0,House Government Bill,192,41,2,Stephen Harper,Conservative,M,Conservative,Other,12,True
40.0,House Government Bill,13,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,10,True
12.0,House Government Bill,54,39,1,Stephen Harper,Conservative,M,Conservative,Other,2,True
7.0,House Government Bill,13,37,1,Jean Chrétien,Liberal,F,Liberal,Minister of Justice,12,True
60.0,House Government Bill,80,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Justice,12,True
192.0,House Government Bill,225,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,11,True
152.0,House Government Bill,76,40,3,Stephen Harper,Conservative,M,Conservative,Minister of Finance,9,True
22.0,House Government Bill,112,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Industry,3,True
30.0,House Government Bill,7,37,2,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,6,True
268.0,House Government Bill,189,37,1,Jean Chrétien,Liberal,M,Liberal,Other,12,True
962.0,House Government Bill,217,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,11,True
8.0,House Government Bill,169,40,3,Stephen Harper,Conservative,M,Conservative,Minister of Justice,10,True
67.0,House Government Bill,4,40,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
16.0,House Government Bill,70,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,3,True
1.0,House Government Bill,1,39,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
6.0,House Government Bill,75,38,1,Paul Martin,Liberal,M,Liberal,Minister of Finance,5,True
28.0,House Government Bill,147,37,2,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,6,True
25.0,House Government Bill,4,40,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
1.0,House Government Bill,7,39,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
1.0,House Government Bill,1,39,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
12.0,House Government Bill,197,38,1,Paul Martin,Liberal,M,Liberal,Minister of Justice,5,True
124.0,House Government Bill,50,37,1,Jean Chrétien,Liberal,M,Liberal,Minister of Finance,2,True
56.0,House Government Bill,4,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,12,True
16.0,House Government Bill,50,40,2,Stephen Harper,Conservative,F,Conservative,Minister of Human Resources and Skills Development,9,True
1.0,House Government Bill,7,39,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
152.0,House Government Bill,96,39,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,3,True
13.0,House Government Bill,50,37,2,Jean Chrétien,Liberal,M,Liberal,Other,9,True
68.0,House Government Bill,128,37,1,Jean Chrétien,Liberal,M,Liberal,Other,2,True
74.0,House Government Bill,139,41,2,Stephen Harper,Conservative,M,Conservative,Other,1,True
24.0,House Government Bill,197,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Public Safety,12,True
60.0,House Government Bill,76,40,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,9,True
,House Government Bill,8,37,1,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,3,True
58.0,House Government Bill,118,41,2,Stephen Harper,Conservative,F,Conservative,Minister of Transport,2,True
18.0,House Government Bill,197,41,1,Stephen Harper,Conservative,M,Conservative,"Minister of Transport, Infrastructure and Communities",12,True
148.0,House Government Bill,85,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,3,True
,House Government Bill,8,37,1,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,3,True
6.0,House Government Bill,55,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,1,True
18.0,House Government Bill,179,38,1,Paul Martin,Liberal,M,Liberal,Minister of Justice,5,True
32.0,House Government Bill,7,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
