BillNumberOfPages,BillType,DaysUntilRoyalAssent,ParliamentNumber,SessionNumber,PrimeMinisterName,PrimeMinisterParty,SponsorGender,SponsorParty,SponsorTitle,BillMonthOfYear,IsSponsorInPower
34.0,House Government Bill,177,38,1,Paul Martin,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,6,True
34.0,House Government Bill,7,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
12.0,House Government Bill,44,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,2,True
16.0,House Government Bill,127,40,3,Stephen Harper,Conservative,M,Conservative,Other,11,True
156.0,House Government Bill,175,38,1,Paul Martin,Liberal,M,Liberal,Minister of Industry,6,True
14.0,House Government Bill,10,37,2,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,10,True
70.0,House Government Bill,42,40,2,Stephen Harper,Conservative,F,Conservative,Minister of Human Resources and Skills Development,11,True
18.0,House Government Bill,17,38,1,Paul Martin,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,6,True
286.0,House Government Bill,172,38,1,Paul Martin,Liberal,M,Liberal,Minister of Finance,6,True
44.0,House Government Bill,7,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
62.0,House Government Bill,6,40,3,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,12,True
1.0,House Government Bill,13,39,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
1.0,House Government Bill,9,38,1,Paul Martin,Liberal,M,Liberal,President of the Treasury Board,6,True
172.0,House Government Bill,47,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,5,True
38.0,House Government Bill,7,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,3,True
16.0,House Government Bill,42,40,3,Stephen Harper,Conservative,M,Conservative,Minister of Public Safety,2,True
6.0,House Government Bill,21,39,1,Stephen Harper,Conservative,M,Conservative,Minister of Justice,6,True
1.0,House Government Bill,13,39,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
,House Government Bill,7,37,1,Jean Chrétien,Liberal,F,Liberal,President of the Treasury Board,6,True
128.0,House Government Bill,58,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Finance,4,True
20.0,House Government Bill,12,39,2,Stephen Harper,Conservative,M,Conservative,Other,6,True
1.0,House Government Bill,15,39,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
8.0,House Government Bill,21,41,2,Stephen Harper,Conservative,F,Conservative,Other,6,True
14.0,House Government Bill,20,40,3,Stephen Harper,Conservative,M,Conservative,Other,3,True
14.0,House Government Bill,14,39,1,Stephen Harper,Conservative,M,Conservative,Other,6,True
14.0,House Government Bill,19,41,1,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,5,True
36.0,House Government Bill,11,40,2,Stephen Harper,Conservative,M,Conservative,Minister of Finance,12,True
24.0,House Government Bill,15,41,2,Stephen Harper,Conservative,M,Conservative,Minister of Aboriginal Affairs and Northern Development,6,True
82.0,House Government Bill,14,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
6.0,House Government Bill,18,41,2,Stephen Harper,Conservative,M,Conservative,Other,6,True
18.0,House Government Bill,14,41,1,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
,House Government Bill,5,40,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,12,True
66.0,House Government Bill,10,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
10.0,House Government Bill,50,38,1,Paul Martin,Liberal,M,Liberal,Minister of Finance,10,True
32.0,House Government Bill,10,41,2,Stephen Harper,Conservative,M,Conservative,President of the Treasury Board,6,True
12.0,House Government Bill,23,38,1,Paul Martin,Liberal,M,Liberal,Minister of Indian Affairs and Northern Development,11,True
8.0,House Government Bill,8,41,2,Stephen Harper,Conservative,F,Conservative,Other,6,True
4.0,Private Member’s Bill,260,37,2,Jean Chrétien,Liberal,M,Canadian Alliance,Other,10,False
7.0,Private Member’s Bill,58,37,3,Paul Martin,Liberal,M,Liberal,Other,2,True
6.0,Private Member’s Bill,246,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
4.0,Private Member’s Bill,437,42,1,Justin Trudeau,Liberal,M,Liberal,Other,2,True
3.0,Private Member’s Bill,175,37,2,Jean Chrétien,Liberal,M,Liberal,Other,10,True
4.0,Private Member’s Bill,610,41,2,Stephen Harper,Conservative,M,Liberal,Other,10,False
3.0,Private Member’s Bill,87,37,3,Paul Martin,Liberal,M,NDP,Other,2,False
5.0,Private Member’s Bill,392,39,1,Stephen Harper,Conservative,M,Conservative,Other,5,True
3.0,Private Member’s Bill,387,38,1,Paul Martin,Liberal,M,Conservative,Other,11,False
4.0,Private Member’s Bill,58,37,3,Paul Martin,Liberal,M,Liberal,Other,2,True
6.0,Private Member’s Bill,426,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
5.0,Private Member’s Bill,118,40,3,Stephen Harper,Conservative,F,Conservative,Other,3,True
3.0,Private Member’s Bill,406,39,1,Stephen Harper,Conservative,M,Conservative,Other,5,True
3.0,Private Member’s Bill,281,41,1,Stephen Harper,Conservative,M,Liberal,Other,9,False
4.0,Private Member’s Bill,246,39,2,Stephen Harper,Conservative,M,Liberal,Other,10,False
4.0,Private Member’s Bill,275,41,1,Stephen Harper,Conservative,M,Conservative,Other,9,True
11.0,Private Member’s Bill,401,39,1,Stephen Harper,Conservative,M,Liberal,Other,5,False
4.0,Private Member’s Bill,246,39,2,Stephen Harper,Conservative,M,Liberal,Other,10,False
5.0,Private Member’s Bill,546,41,1,Stephen Harper,Conservative,F,Conservative,Other,9,True
8.0,Private Member’s Bill,226,39,2,Stephen Harper,Conservative,M,Liberal,Other,10,False
3.0,Private Member’s Bill,401,39,1,Stephen Harper,Conservative,M,Conservative,Other,5,True
4.0,Private Member’s Bill,184,39,2,Stephen Harper,Conservative,F,Liberal,Other,10,False
3.0,Private Member’s Bill,636,41,1,Stephen Harper,Conservative,M,Conservative,Other,9,True
5.0,Private Member’s Bill,442,41,1,Stephen Harper,Conservative,M,Conservative,Other,9,True
3.0,Private Member’s Bill,87,38,1,Paul Martin,Liberal,M,Liberal,Other,11,True
4.0,Private Member’s Bill,635,41,1,Stephen Harper,Conservative,M,Conservative,Other,9,True
3.0,Private Member’s Bill,85,38,1,Paul Martin,Liberal,M,Conservative,Other,12,False
4.0,Private Member’s Bill,625,41,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
4.0,Private Member’s Bill,269,41,1,Stephen Harper,Conservative,F,Conservative,Other,10,True
3.0,Private Member’s Bill,269,41,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
3.0,Private Member’s Bill,438,41,1,Stephen Harper,Conservative,F,Conservative,Other,10,True
3.0,Private Member’s Bill,632,41,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
4.0,Private Member’s Bill,624,41,1,Stephen Harper,Conservative,M,Conservative,Other,10,True
5.0,Private Member’s Bill,409,38,1,Paul Martin,Liberal,M,Conservative,Other,10,False
3.0,Private Member’s Bill,483,41,1,Stephen Harper,Conservative,M,Conservative,Other,11,True
10.0,Private Member’s Bill,622,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
25.0,Private Member’s Bill,554,41,1,Stephen Harper,Conservative,M,Conservative,Other,12,True
8.0,Private Member’s Bill,246,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
3.0,Private Member’s Bill,92,37,2,Jean Chrétien,Liberal,M,Liberal,Other,3,True
5.0,Private Member’s Bill,421,41,1,Stephen Harper,Conservative,F,NDP,Other,5,False
7.0,Private Member’s Bill,426,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
6.0,Private Member’s Bill,426,41,2,Stephen Harper,Conservative,F,Green Party,Other,10,False
5.0,Private Member’s Bill,387,40,3,Stephen Harper,Conservative,M,Conservative,Other,3,True
4.0,Private Member’s Bill,246,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
4.0,Private Member’s Bill,610,41,2,Stephen Harper,Conservative,F,Independent,Other,10,False
5.0,Private Member’s Bill,226,39,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
5.0,Private Member’s Bill,17,37,2,Jean Chrétien,Liberal,M,Bloc Québécois,Other,10,False
7.0,Private Member’s Bill,225,41,2,Stephen Harper,Conservative,F,Conservative,Other,10,True
3.0,Private Member’s Bill,287,40,3,Stephen Harper,Conservative,M,Liberal,Other,3,False
16.0,Private Member’s Bill,226,39,2,Stephen Harper,Conservative,M,Liberal,Other,11,False
4.0,Private Member’s Bill,387,40,3,Stephen Harper,Conservative,M,Conservative,Other,3,True
7.0,Private Member’s Bill,554,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
5.0,Private Member’s Bill,426,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
6.0,Private Member’s Bill,246,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
4.0,Private Member’s Bill,386,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
8.0,Private Member’s Bill,426,41,2,Stephen Harper,Conservative,M,Conservative,Other,10,True
4.0,Private Member’s Bill,568,41,2,Stephen Harper,Conservative,M,Conservative,Other,11,True
9.0,Private Member’s Bill,442,41,2,Stephen Harper,Conservative,M,Conservative,Other,4,True
6.0,Private Member’s Bill,435,41,2,Stephen Harper,Conservative,M,Conservative,Other,4,True
5.0,Private Member’s Bill,273,41,2,Stephen Harper,Conservative,F,Conservative,Other,9,True
8.0,Senate Government Bill,604,41,2,Stephen Harper,Conservative,M,Conservative,Leader of the Government in the Senate,10,True
50.0,Senate Government Bill,630,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,9,True
16.0,Senate Government Bill,133,40,2,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,1,True
52.0,Senate Government Bill,273,40,3,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,3,True
48.0,Senate Government Bill,57,39,2,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,10,True
12.0,Senate Government Bill,338,39,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,4,True
3.0,Senate Public Bill,211,38,1,Paul Martin,Liberal,M,Conservative,Senator,10,False
194.0,Senate Government Bill,71,37,2,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,10,True
126.0,Senate Government Bill,99,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,1,True
22.0,Senate Government Bill,603,41,2,Stephen Harper,Conservative,M,Conservative,Leader of the Government in the Senate,10,True
122.0,Senate Government Bill,61,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,9,True
10.0,Senate Government Bill,105,40,2,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,1,True
78.0,Senate Government Bill,267,40,3,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,3,True
72.0,Senate Government Bill,338,39,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,4,True
4.0,Senate Public Bill,415,38,1,Paul Martin,Liberal,M,Liberal,,10,True
23.0,Senate Government Bill,134,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,1,True
28.0,Senate Government Bill,436,41,2,Stephen Harper,Conservative,M,Conservative,Leader of the Government in the Senate,4,True
56.0,Senate Government Bill,224,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,10,True
16.0,Senate Government Bill,205,40,2,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,3,True
154.0,Senate Government Bill,99,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,1,True
60.0,Senate Government Bill,44,42,1,Justin Trudeau,Liberal,M,Independent,Senator,11,False
18.0,Senate Government Bill,216,41,2,Stephen Harper,Conservative,M,Conservative,Leader of the Government in the Senate,5,True
156.0,Senate Government Bill,127,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,11,True
6.0,Senate Government Bill,343,40,3,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,4,True
76.0,Senate Government Bill,70,39,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,10,True
3.0,Senate Public Bill,260,37,2,Jean Chrétien,Liberal,M,PC,Senator,10,False
9.0,Senate Government Bill,99,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,1,True
42.0,Senate Government Bill,380,41,2,Stephen Harper,Conservative,M,Conservative,Leader of the Government in the Senate,6,True
10.0,Senate Government Bill,337,40,3,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,4,True
18.0,Senate Government Bill,58,39,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,4,True
14.0,Senate Government Bill,225,41,2,Stephen Harper,Conservative,M,Conservative,Leader of the Government in the Senate,11,True
32.0,Senate Government Bill,435,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,2,True
16.0,Senate Government Bill,476,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,2,True
12.0,Senate Government Bill,449,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,3,True
10.0,Senate Government Bill,198,40,3,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,5,True
134.0,Senate Government Bill,57,38,1,Paul Martin,Liberal,M,PC,Leader of the Government in the Senate,10,False
4.0,Senate Public Bill,321,37,1,Jean Chrétien,Liberal,M,Liberal,Senator,1,True
64.0,Senate Government Bill,168,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,6,True
307.0,Senate Government Bill,128,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,2,True
8.0,Senate Government Bill,134,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,2,True
4.0,Senate Public Bill,407,37,1,Jean Chrétien,Liberal,M,PC,,2,False
18.0,Senate Government Bill,127,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,2,True
5.0,Senate Private Bill,22,37,3,Paul Martin,Liberal,M,PC,Senator,3,False
8.0,Senate Government Bill,114,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,2,True
108.0,Senate Government Bill,105,41,1,Stephen Harper,Conservative,F,Conservative,Leader of the Government in the Senate,3,True
148.0,Senate Government Bill,146,38,1,Paul Martin,Liberal,M,PC,Leader of the Government in the Senate,10,False
10.0,Senate Government Bill,114,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,2,True
6.0,Senate Government Bill,239,38,1,Paul Martin,Liberal,M,PC,Leader of the Government in the Senate,11,False
8.0,Senate Private Bill,157,37,2,Jean Chrétien,Liberal,M,Liberal,Senator,6,True
4.0,Senate Public Bill,405,37,1,Jean Chrétien,Liberal,M,PC,Senator,3,False
207.0,Senate Government Bill,217,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,3,True
15.0,Senate Government Bill,79,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,3,True
4.0,Senate Private Bill,98,38,1,Paul Martin,Liberal,M,Liberal,Senator,2,True
10.0,Senate Private Bill,77,37,1,Jean Chrétien,Liberal,M,Liberal,Senator,3,True
4.0,Senate Private Bill,28,37,1,Jean Chrétien,Liberal,M,Liberal,Senator,5,True
4.0,Senate Private Bill,28,37,1,Jean Chrétien,Liberal,M,Liberal,Senator,5,True
6.0,Senate Government Bill,175,38,1,Paul Martin,Liberal,M,PC,Leader of the Government in the Senate,5,False
216.0,Senate Government Bill,90,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,9,True
28.0,Senate Government Bill,84,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,9,True
5.0,Senate Government Bill,245,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,10,True
6.0,Senate Government Bill,190,38,1,Paul Martin,Liberal,M,PC,Leader of the Government in the Senate,5,False
10.0,Senate Government Bill,190,38,1,Paul Martin,Liberal,M,PC,Leader of the Government in the Senate,5,False
10.0,Senate Government Bill,156,38,1,Paul Martin,Liberal,M,PC,Leader of the Government in the Senate,5,False
6.0,Senate Government Bill,91,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,3,True
6.0,Senate Government Bill,366,37,1,Jean Chrétien,Liberal,F,Liberal,Leader of the Government in the Senate,3,True
12.0,Senate Public Bill,513,42,1,Justin Trudeau,Liberal,M,Liberal,Senator,12,True
6.0,Senate Public Bill,534,41,1,Stephen Harper,Conservative,M,Liberal,Senator,6,False
9.0,Senate Public Bill,183,39,2,Stephen Harper,Conservative,M,Liberal,Senator,10,False
6.0,Senate Public Bill,394,41,1,Stephen Harper,Conservative,M,Liberal,Senator,10,False
4.0,Senate Public Bill,245,39,2,Stephen Harper,Conservative,M,Liberal,Senator,10,False
6.0,Senate Public Bill,525,42,1,Justin Trudeau,Liberal,F,Liberal,Senator,12,True
6.0,Senate Public Bill,461,41,1,Stephen Harper,Conservative,M,Conservative,Senator,3,True
7.0,Senate Public Bill,281,40,3,Stephen Harper,Conservative,M,Liberal,Senator,3,False
6.0,Senate Public Bill,390,41,2,Stephen Harper,Conservative,F,Conservative,Senator,11,True
6.0,Senate Public Bill,365,41,2,Stephen Harper,Conservative,M,Conservative,Senator,12,True
6.0,Senate Public Bill,225,41,1,Stephen Harper,Conservative,F,Conservative,Senator,11,True
4.0,Senate Public Bill,266,40,3,Stephen Harper,Conservative,F,Conservative,Senator,3,True
7.0,Senate Public Bill,212,39,2,Stephen Harper,Conservative,F,Conservative,Senator,10,True
6.0,Senate Public Bill,363,41,2,Stephen Harper,Conservative,F,Liberal,Senator,4,False
6.0,Senate Public Bill,378,41,2,Stephen Harper,Conservative,M,Conservative,Senator,4,True
4.0,Senate Public Bill,91,39,2,Stephen Harper,Conservative,M,Liberal,Senator,11,False
6.0,Senate Public Bill,293,41,2,Stephen Harper,Conservative,M,Conservative,Senator,5,True
4.0,Senate Private Bill,36,42,1,Justin Trudeau,Liberal,M,Liberal,Senator,5,True
6.0,Senate Private Bill,174,41,2,Stephen Harper,Conservative,F,Conservative,Senator,6,True
10.0,Senate Private Bill,18,41,1,Stephen Harper,Conservative,M,PC,Senator,6,False
7.0,Senate Private Bill,239,39,1,Stephen Harper,Conservative,M,Conservative,Senator,6,True
6.0,Senate Private Bill,15,41,1,Stephen Harper,Conservative,M,Conservative,Senator,11,True
6.0,Senate Private Bill,45,41,1,Stephen Harper,Conservative,M,Conservative,Senator,4,True
